video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"xFWmdfoSfM0","Chess - English Opening Trap - Chutti Mithran","2020-11-26T19:08:17Z","UCFrlkdrRaGplfUg-9C-PDog","Chutti Mithran","27","23.04.12","chess|three knights trap|chess traps|chess openings|youtube chess|best chess channel|best youtube chess channel|chess tournament|chess tricks|chess strategy|chess tactics","85","0","0","3","https://i.ytimg.com/vi/xFWmdfoSfM0/default.jpg","False","True","PGN: 1.c4 e5 2.Nc3 Nc6 3.Nf3 g6 4.d4 exd4 5.Nd5 Bg7 6.Bg5 Nge7??Blunder. Nce7 was best.6...Nce7 7.Nxd4 h6[...]7.Nxd4 Bxd4??Blunder. f6 was best.7...f6 8.Bxf6 Bxf6[...]8.Qxd4 O-O??Checkmate is now unavoidable. f6 was best.8...f6 9.Nf6+ Kh8 10.Ng4+1-0Please visit our earlier Chess videos from below linksTrompowsky Attack: https://www.youtube.com/watch?v=djTs3O6PzzU&t=5sEnd Game Traps 1.0: https://www.youtube.com/watch?v=w_laTuzUN94&t=110sQueen's Gambit - Chess Trap - https://www.youtube.com/watch?v=z_FAoXwL0ys&t=1sRuy Lopez Opening Trap - https://www.youtube.com/watch?v=zZ5LyLJWN_M&t=16sLegal Chess Trap - Chutti Mithran - https://www.youtube.com/watch?v=415_QomqwM0&t=13sChess - CaroKann Defense: https://www.youtube.com/watch?v=Hi3mR8GaImU&t=21sItalian Blackburne Shilling Trap - https://www.youtube.com/watch?v=UhnVOseZa6o&t=10sChess Puzzle - https://www.youtube.com/watch?v=rJZPmcZ7_BY&t=22s"
"8IVrC--6fgE","How to make a jumping frog 🐸  || Prit Thummar￼","2022-02-07T16:37:15Z","UCpWRYomnIDGd0KNoD5Zjwfw","_Prit Thummar_","26","23.04.12","[none]","18","0","0","1","https://i.ytimg.com/vi/8IVrC--6fgE/default.jpg","False","True",""
"KiGyc3kXpAo","PEUGEOT BOXER HG58 GKK","2021-08-17T11:07:37Z","UCAof0uXb4qIdQNrd5YlM1SQ","VANSTATION","22","23.04.12","[none]","74","0","0","0","https://i.ytimg.com/vi/KiGyc3kXpAo/default.jpg","False","True",""
"vxYweK6HDFA","my plans for summer","2023-06-16T19:22:11Z","UCGFSCS1tRFV9w70da1_lB2g","ATVY","22","23.04.12","[none]","9","0","0","0","https://i.ytimg.com/vi/vxYweK6HDFA/default.jpg","False","True","Instagram: https://instagram.com/aatvy?igshid=ZDdkNTZiNTM="
"m6uv-lq469A","🍜해물간짬뽕+쏘맥한잔🍺간짬뽕에 새우+오징어넣고 볶았더니 중국집도 안부러움😎(Ft.고추튀김 오징어튀김MUKBANG ASMR EATINGSHOW REALSOUND Firenoodle","2021-05-24T11:30:54Z","UCpQTzHvXNjraoVDSCPID04w","혼술다큐 미짱 lonely mizzang","22","23.04.12","EATINGSOUND|리얼사운드|혼술먹방|먹방|mukbang|eating show|리얼먹방|soju mukbang|soju|소주|혼술|alcohol mukbang|mukbang korean|mukbang korean food|モッパン|モクバン|asmr mukbang|Mukbang asmr|real sound|real sound mukbang|mukbang vlog|vlog mukbang|mukbang notalking|asmr|술먹방|혼술브이로그|먹방브이로그|여자먹방|먹방 vlog|cooking|cooking mukbang|cooking vlog|yt:cc=on|혼술로그|간짬뽕|불닭볶음면|amsr","465317","0","0","303","https://i.ytimg.com/vi/m6uv-lq469A/default.jpg","False","True","#먹방#Mukbang#Eatingshow❤✨ 자막을 원하시는 분들은 오른 쪽 아래에 있는 설정버튼(톱니바퀴모양)을 누른 후 활성화해서 시청해주세요! ✨❤💟 Instagram : lonely_mizzang 💟안녕하세요 미짱이에요 🥰오늘의 메뉴는 간짬뽕이에요 ! 간짬뽕은 불닭볶음면이 핫해지면서 거의 먹은 기억이 없는데 간만에 먹으니 넘 맛있더라구요!? 👍집에 있던 해물믹스랑 칵테일새우까지 넣어서 나름 해물볶음면(?)으로 만들어서 더 맛있었던 것 같아용 😋특가 떠서 샀던 냉동 고추튀김 오징어 튀김도  에어프라이어에 돌려 같이 먹었는데 아마도 튀김은 기름에 튀겨야 제 맛인가봐용..😅 살짝 아쉬웠지만 그래도 맛있었어용 😉영상을 시청해주셔서 감사합니다 ! 오늘도 좋은 하루 보내세요 🙇🏻‍♀️💛💙BGM - Retro (유튜브 오디오 보관함)#간짬뽕먹방#불닭먹방#불닭볶음면먹방#라면먹방#Firenoodle#쏘맥#맥주#혼술#고추튀김#오징어튀김#ramyun#instantnoodle#볶음짬뽕"
"ipZ07JyrjAc","ARK OFFICIAL PVP l DALG l Highlights #2","2022-10-17T14:43:40Z","UCRRYXrc-DTmMqXrMw_5Psgw","YOYOYO","22","23.04.12","[none]","1446","0","0","6","https://i.ytimg.com/vi/ipZ07JyrjAc/default.jpg","False","True",""
"R0J2-9RAs5s","17 tháng 5, 2023","2023-05-17T07:18:20Z","UCRwuXbCk_kXguqLxGMfYZcA","Sơn Trinh","22","23.04.12","[none]","35","0","0","0","https://i.ytimg.com/vi/R0J2-9RAs5s/default.jpg","False","True",""
"IZGTGwO7ORQ","Colligative Properties| Relative Lowering of Vapour Pressure| Solution Chapter-1 Class12 Chemistry","2023-05-05T12:40:09Z","UCX2O1AuD6At9qycliDgFtuA","Preetika's chemistry","27","23.04.12","[none]","24419","0","0","86","https://i.ytimg.com/vi/IZGTGwO7ORQ/default.jpg","False","True","9317405797 Now you can buy this pdf of chapter-1 Solutions on WhatsApp number 9317405797. Colligative Properties| Relative Lowering of Vapour Pressure| Solution Chapter-1 Class12 Chemistry"
"OJx8LO-FZVo","Venus Williams on Black Culture, Beauty Standards and Her Relationship With Serena | GLAMOUR UK","2022-10-06T16:00:12Z","UCaimRMbg1TJV2h0XiZGqHMQ","Glamour Magazine UK","24","23.04.12","beauty standards|black culture|black history month|black skin|equal prize money|fashion|glamour|glamour unfiltered|glamour unfiltered glamour uk|hair beads|hair braids|interview|money|october cover|serena williams|sisterhood|skincare|spf|tennis|venus williams","5078","0","0","25","https://i.ytimg.com/vi/OJx8LO-FZVo/default.jpg","False","True","Tennis icon, entrepreneur and activist Venus Williams talks to Abigail Blackburn about sisterhood, securing equal pay for women and embracing single life.With just a hint of a smile on her lips and the obvious emotion in her eyes shadowed by a bright white baseball cap, by now we’ve probably all seen the viral clip of Venus Williams’s composed reaction to her sister Serena’s tearful tribute to her trailblazing elder sister, just days after she announced her retirement from the international tennis circuit in September.“I wouldn’t be Serena if there wasn’t Venus, so thank you, Venus. She’s the only reason Serena Williams ever existed,” Serena declared in her final US Open interview on 2 September, her voice breaking as she wiped away self-described ‘happy tears’. In a moment when Serena could have focused purely on her own record-smashing achievements, instead she turned the spotlight on her older sister. There are plenty of reasons to follow her lead.Want even more? Subscribe to Glamour UK HERE: http://bit.ly/W6aASQCONNECT WITH GLAMOUR MAGAZINE UK:For celebrities, makeup and fashion visit: http://www.glamourmagazine.co.ukLike us on Facebook: https://www.facebook.com/glamourmagukFollow Glamour on Twitter: https://twitter.com/glamourmagukFollow Glamour on Instagram: http://instagram.com/glamourmukABOUT GLAMOURGlamour is for the woman who sets the direction of her own life and lives it to its fullest and chicest. The dream job, the perfect look, the right guy: All are in her reach. Its inspiration, ideas and guidance help her conquer her world with confidence and style. Glamour is your guide to career and lifestyle advice. Discover the latest fashion trends, hairstyles, beauty tips, celebrity news, inspirational videos, and relationship & sex advice.https://www.youtube.com/user/glamour"
"4KmpatjS9js","Play 99999999 iQ Levels Mobile Game Number Master Gameplay iOS,Android Walkthrough FreePlay XGPY Ply","2023-07-10T02:30:04Z","UCjCFPXCx33r73ExYV5H0VkA","BlackPlay","20","23.04.12","games|new|iphone|update|app|apk|mod|hack|new game|video games|new ios game|walkthrough|3d|ios|android|trailer|gameplay|video game|game|2021|new video game|new android game|ipad|new ios games|flash runner walkthrough|flash runner ios|flash runner android|flash runner trailer|flash runner gameplay|flash runner 3d|flash runner game|flash runner|mother run walkthrough|mother run ios|mother run android|mother run trailer|mother run gameplay|mother run game","453","0","0","0","https://i.ytimg.com/vi/4KmpatjS9js/default.jpg","False","True","Play 99999999 iQ Levels Mobile Game Number Master Gameplay iOS,Android Walkthrough FreePlay XGPY Ply#gameplay #mobilegame #game"
